Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,137,2909,3046,Einme,MMR017015
 Rural,1818,41591,43409,Einme,MMR017015
 Total,1955,44500,46455,Einme,MMR017015
