Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,104,3735,3839,Kyauktaw,MMR012004
 Rural,456,32200,32656,Kyauktaw,MMR012004
 Total,560,35935,36495,Kyauktaw,MMR012004
