Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,7,277,284,Minekoke(ST),MMR016006
 Rural,27,2891,2918,Minekoke(ST),MMR016006
 Total,34,3168,3202,Minekoke(ST),MMR016006
