Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,8,1207,1215,Maei(ST),MMR012016
 Rural,18,8720,8738,Maei(ST),MMR012016
 Total,26,9927,9953,Maei(ST),MMR012016
