Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,75,8674,8749,Hlegu,MMR013004
 Rural,737,48537,49274,Hlegu,MMR013004
 Total,812,57211,58023,Hlegu,MMR013004
