Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,26,3324,3350,Thandwe,MMR012015
 Rural,181,27544,27725,Thandwe,MMR012015
 Total,207,30868,31075,Thandwe,MMR012015
