Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,135,61541,61676,Insein,MMR013001
 Total,135,61541,61676,Insein,MMR013001
