Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,244,20115,20359,Taikkyi,MMR013005
 Rural,573,46067,46640,Taikkyi,MMR013005
 Total,817,66182,66999,Taikkyi,MMR013005
