Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,58,31837,31895,Dagon Myothit(East),MMR013020
 Rural,18,2000,2018,Dagon Myothit(East),MMR013020
 Total,76,33837,33913,Dagon Myothit(East),MMR013020
