Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,216,130,346,Manhero(ST),MMR015009
 Rural,868,429,1297,Manhero(ST),MMR015009
 Total,1084,559,1643,Manhero(ST),MMR015009
