Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,368,1380,1748,Kholan(ST),MMR014013
 Rural,729,1887,2616,Kholan(ST),MMR014013
 Total,1097,3267,4364,Kholan(ST),MMR014013
