Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,107,735,842,Kehsi,MMR014015
 Rural,601,7458,8059,Kehsi,MMR014015
 Total,708,8193,8901,Kehsi,MMR014015
