Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,141,8350,8491,Kyaukse,MMR010013
 Rural,1096,48178,49274,Kyaukse,MMR010013
 Total,1237,56528,57765,Kyaukse,MMR010013
