Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,14,493,507,Minesan(Monsan)(ST),MMR014017
 Rural,26,6133,6159,Minesan(Monsan)(ST),MMR014017
 Total,40,6626,6666,Minesan(Monsan)(ST),MMR014017
