Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,27,4588,4615,Minbya,MMR012005
 Rural,63,31950,32013,Minbya,MMR012005
 Total,90,36538,36628,Minbya,MMR012005
