Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,360,3018,3378,Hopan,MMR015021
 Rural,595,6058,6653,Hopan,MMR015021
 Total,955,9076,10031,Hopan,MMR015021
