Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,125,3825,3950,Kyaungon,MMR017007
 Rural,1934,35518,37452,Kyaungon,MMR017007
 Total,2059,39343,41402,Kyaungon,MMR017007
