Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,231,2418,2649,Hsihseng,MMR014004
 Rural,2544,27578,30122,Hsihseng,MMR014004
 Total,2775,29996,32771,Hsihseng,MMR014004
