Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,74,3504,3578,Ingapu,MMR017013
 Rural,710,52941,53651,Ingapu,MMR017013
 Total,784,56445,57229,Ingapu,MMR017013
