Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,20,2294,2314,Maungtaw,MMR012009
 Rural,36,5040,5076,Maungtaw,MMR012009
 Total,56,7334,7390,Maungtaw,MMR012009
