Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,25,2031,2056,Htantabin,MMR013006
 Rural,984,31171,32155,Htantabin,MMR013006
 Total,1009,33202,34211,Htantabin,MMR013006
