Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,5,828,833,Ngayokaung(ST),MMR017004
 Rural,93,9275,9368,Ngayokaung(ST),MMR017004
 Total,98,10103,10201,Ngayokaung(ST),MMR017004
