Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,89,2144,2233,Momeik,MMR015017
 Rural,210,11209,11419,Momeik,MMR015017
 Total,299,13353,13652,Momeik,MMR015017
