Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,7,579,586,Minelon(ST),MMR015012
 Rural,20,5250,5270,Minelon(ST),MMR015012
 Total,27,5829,5856,Minelon(ST),MMR015012
