Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,42,679,721,Ponparkyin(ST),MMR016008
 Rural,198,6415,6613,Ponparkyin(ST),MMR016008
 Total,240,7094,7334,Ponparkyin(ST),MMR016008
