Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,15,454,469,Panwine,MMR015007
 Rural,442,13058,13500,Panwine,MMR015007
 Total,457,13512,13969,Panwine,MMR015007
