Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,7,928,935,Namsan(North),MMR015016
 Rural,66,12684,12750,Namsan(North),MMR015016
 Total,73,13612,13685,Namsan(North),MMR015016
