Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,57,5992,6049,Myanaung,MMR017011
 Rural,625,53246,53871,Myanaung,MMR017011
 Total,682,59238,59920,Myanaung,MMR017011
