Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,30,631,661,Panlon(ST),MMR015021
 Rural,12,512,524,Panlon(ST),MMR015021
 Total,42,1143,1185,Panlon(ST),MMR015021
