Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,209,1456,1665,Karli(ST),MMR014014
 Rural,365,4537,4902,Karli(ST),MMR014014
 Total,574,5993,6567,Karli(ST),MMR014014
