Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,303,8350,8653,Kyukme,MMR015012
 Rural,1907,17811,19718,Kyukme,MMR015012
 Total,2210,26161,28371,Kyukme,MMR015012
