Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,432,52615,53047,Chanmyatharzi,MMR010004
 Total,432,52615,53047,Chanmyatharzi,MMR010004
