Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,136,16550,16686,Mogok,MMR010011
 Rural,158,18403,18561,Mogok,MMR010011
 Total,294,34953,35247,Mogok,MMR010011
