Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,143,7373,7516,Kyaikto,MMR011009
 Rural,345,30227,30572,Kyaikto,MMR011009
 Total,488,37600,38088,Kyaikto,MMR011009
