Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,351,1209,1560,Minelar,MMR016005
 Rural,985,2663,3648,Minelar,MMR016005
 Total,1336,3872,5208,Minelar,MMR016005
