Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,358,58153,58511,Shwepyitha,MMR013007
 Rural,104,15160,15264,Shwepyitha,MMR013007
 Total,462,73313,73775,Shwepyitha,MMR013007
