Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,23,535,558,Minekat,MMR016002
 Rural,191,7276,7467,Minekat,MMR016002
 Total,214,7811,8025,Minekat,MMR016002
