Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,53,3991,4044,Bilin,MMR011010
 Rural,1472,33715,35187,Bilin,MMR011010
 Total,1525,37706,39231,Bilin,MMR011010
