Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,6,771,777,Ahmar(ST),MMR017023
 Rural,382,26627,27009,Ahmar(ST),MMR017023
 Total,388,27398,27786,Ahmar(ST),MMR017023
