Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,126,7752,7878,Khayan,MMR013026
 Rural,1919,29517,31436,Khayan,MMR013026
 Total,2045,37269,39314,Khayan,MMR013026
