Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,1,500,501,Pyinsalu(ST),MMR017016
 Rural,132,19804,19936,Pyinsalu(ST),MMR017016
 Total,133,20304,20437,Pyinsalu(ST),MMR017016
