Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,26,1852,1878,An,MMR012014
 Rural,104,25377,25481,An,MMR012014
 Total,130,27229,27359,An,MMR012014
