Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,607,12727,13334,MuSe,MMR015009
 Rural,2960,5920,8880,MuSe,MMR015009
 Total,3567,18647,22214,MuSe,MMR015009
