Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,-,427,427,Tontar(ST),MMR016007
 Rural,21,2246,2267,Tontar(ST),MMR016007
 Total,21,2673,2694,Tontar(ST),MMR016007
