Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,80,3177,3257,Namtu,MMR015015
 Rural,447,7937,8384,Namtu,MMR015015
 Total,527,11114,11641,Namtu,MMR015015
