Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,23,1999,2022,Pan San(Pan Kham),MMR015005
 Rural,151,13969,14120,Pan San(Pan Kham),MMR015005
 Total,174,15968,16142,Pan San(Pan Kham),MMR015005
