Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,138,1959,2097,Kengtaung(ST),MMR014019
 Rural,2,162,164,Kengtaung(ST),MMR014019
 Total,140,2121,2261,Kengtaung(ST),MMR014019
