Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,1,80,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,1,314,315,ManKan(ST),MMR015005
