Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,139,2920,3059,Nyaungshwe,MMR014002
 Rural,1234,38341,39575,Nyaungshwe,MMR014002
 Total,1373,41261,42634,Nyaungshwe,MMR014002
