Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,46,10069,10115,Bogale,MMR017024
 Rural,1881,63991,65872,Bogale,MMR017024
 Total,1927,74060,75987,Bogale,MMR017024
