Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,131,5769,5900,Nyaungdon,MMR017021
 Rural,1983,43318,45301,Nyaungdon,MMR017021
 Total,2114,49087,51201,Nyaungdon,MMR017021
