Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,76,45380,45456,Thakayta,MMR013013
 Total,76,45380,45456,Thakayta,MMR013013
