Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,52,142,194,Kongyan,MMR015023
 Rural,96,5172,5268,Kongyan,MMR015023
 Total,148,5314,5462,Kongyan,MMR015023
