Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,220,1250,1470,Mineye`,MMR015003
 Rural,1204,10654,11858,Mineye`,MMR015003
 Total,1424,11904,13328,Mineye`,MMR015003
