Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,505,43370,43875,Pyigyidagun,MMR010005
 Total,505,43370,43875,Pyigyidagun,MMR010005
