Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,582,6226,6808,Tantyan,MMR015004
 Rural,1297,27037,28334,Tantyan,MMR015004
 Total,1879,33263,35142,Tantyan,MMR015004
