Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,63,2703,2766,Yekyi,MMR017006
 Rural,1209,23827,25036,Yekyi,MMR017006
 Total,1272,26530,27802,Yekyi,MMR017006
