Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,7,612,619,Chinshwehaw(ST),MMR015022
 Rural,18,313,331,Chinshwehaw(ST),MMR015022
 Total,25,925,950,Chinshwehaw(ST),MMR015022
