Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,34,8212,8246,Zeyarthiri,MMR018001
 Rural,176,17653,17829,Zeyarthiri,MMR018001
 Total,210,25865,26075,Zeyarthiri,MMR018001
