Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,311,3860,4171,Naungkhio,MMR015013
 Rural,3359,24694,28053,Naungkhio,MMR015013
 Total,3670,28554,32224,Naungkhio,MMR015013
