Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,198,1132,1330,Le`char,MMR014012
 Rural,2471,4989,7460,Le`char,MMR014012
 Total,2669,6121,8790,Le`char,MMR014012
