Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,302,10490,10792,Mudon,MMR011005
 Rural,2010,26510,28520,Mudon,MMR011005
 Total,2312,37000,39312,Mudon,MMR011005
