Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,40,2208,2248,Yanbye,MMR012013
 Rural,49,20121,20170,Yanbye,MMR012013
 Total,89,22329,22418,Yanbye,MMR012013
