Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,186,10520,10706,Thaton,MMR011007
 Rural,2474,35104,37578,Thaton,MMR011007
 Total,2660,45624,48284,Thaton,MMR011007
